Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Reviews
FOSSIL ,Smartwatch,Q Annette,Gold,6995,13495,AMOLED Display,4.6,Leather,1,
FOSSIL ,Smartwatch,Gen 5 Julianna HR,Grey,15995,22995,AMOLED Display,4.3,Stainless Steel,2,
FOSSIL ,Smartwatch,FTW6007,Brown,19995,19995,AMOLED Display,4.1,Leather,2,
FOSSIL ,Smartwatch,Gen 5E,"Black, Silver ",18495,18495,AMOLED Display,3.8,Stainless Steel,1,
FOSSIL ,Smartwatch,Neutra Hybrid,"Brown, Black",11995,11995,AMOLED Display,5,Leather,12,
FOSSIL ,Smartwatch,Gen 5 Julianna HR,Blue,15995,22995,AMOLED Display,4.3,Stainless Steel,2,
FOSSIL ,Smartwatch,FTW1151 Hybrid,Gold,8995,11995,AMOLED Display,4.3,Leather,2,
FOSSIL ,Smartwatch,Barstow Hybrid,Brown,8995,11995,AMOLED Display,4.6,Leather,12,
FOSSIL ,Smartwatch,Wander RG,Black,18995,18995,AMOLED Display,4,Silicone,5,
FOSSIL ,Smartwatch,Charter Hybrid HR,Black,14021,16495,AMOLED Display,3.9,Leather,12,6
FOSSIL ,Smartwatch,Q Wander,Gold,19995,19995,AMOLED Display,4,Stainless Steel,1,
FOSSIL ,Smartwatch,Q Founder,Silver,19995,19995,AMOLED Display,4.2,Stainless Steel,1,
FOSSIL ,Smartwatch,Garrett Hybrid,Black,6995,11995,AMOLED Display,3.7,Stainless Steel,12,
FOSSIL ,Smartwatch,Q Explorist,Black,19995,19995,AMOLED Display,4.4,Leather,2,
FOSSIL ,Smartwatch,Marshall,Grey,18995,18995,AMOLED Display,4,Stainless Steel,1,
FOSSIL ,Smartwatch,Gen 3 Q Venture,"Black, Gold",15396,21995,AMOLED Display,4.3,Stainless Steel,1,7
FOSSIL ,Smartwatch,FTW4003,Brown,19995,19995,AMOLED Display,3.1,Leather,2,
FOSSIL ,Smartwatch,Gen 5E,"Grey, Multicolor",18495,18495,AMOLED Display,4.6,Stainless Steel,1,
FOSSIL ,Smartwatch,Sport 43,Black,9995,17995,AMOLED Display,4,Silicone,2,
FOSSIL ,Smartwatch,The Carlyle HR,Black,25995,25995,AMOLED Display,4.2,Leather,14,
FOSSIL ,Smartwatch,Garrett HR,Gold,15995,22995,AMOLED Display,4.1,Stainless Steel,14,
FOSSIL ,Smartwatch,4th Gen Explorist HR,Grey,10998,21995,AMOLED Display,3.9,Stainless Steel,2,600
FOSSIL ,Smartwatch,Sport,Red,17995,17995,AMOLED Display,4.6,Silicone,2,
FOSSIL ,Smartwatch,FTW6001,Gold,21995,21995,AMOLED Display,4.2,Stainless Steel,2,
FOSSIL ,Smartwatch,Q Founder 2.0,Black,19995,19995,AMOLED Display,4.2,Stainless Steel,1,61
FOSSIL ,Smartwatch,Cameron Hybrid,Black,8995,13495,AMOLED Display,4.6,Stainless Steel,12,
FOSSIL ,Smartwatch,Gen 3 Q Explorist,Black,15749,19995,AMOLED Display,4.1,Stainless Steel,2,
FOSSIL ,Smartwatch,4th Gen Venture HR,Black,17596,21995,AMOLED Display,3.9,Stainless Steel,14,46
FOSSIL ,Smartwatch,FTW6005,Black,19995,19995,AMOLED Display,3.8,Stainless Steel,2,
FOSSIL ,Smartwatch,Marshall,Black,19995,19995,AMOLED Display,4.1,Stainless Steel,1,
FOSSIL ,Smartwatch,Garrett Hybrid,Brown,11995,11995,AMOLED Display,3.7,Leather,12,
FOSSIL ,Smartwatch,4th Gen Venture HR,Silver,10997,21995,AMOLED Display,3.9,Stainless Steel,14,46
FOSSIL ,Smartwatch,Marshall,Blue,19995,19995,AMOLED Display,4.1,Stainless Steel,1,
FOSSIL ,Smartwatch,FTW1161 Hybrid,Gold,8995,14495,AMOLED Display,4.3,Stainless Steel,2,
FOSSIL ,Smartwatch,FTW1142 Q Hybrid,Silver,9796,13995,AMOLED Display,3.7,Stainless Steel,2,
FOSSIL ,Smartwatch,Jacqueline Hybrid,Navy ,8995,13495,AMOLED Display,4,Leather,12,
FOSSIL ,Smartwatch,Gen 3 Q Explorist,Blue,15034,15034,AMOLED Display,4.3,Stainless Steel,2,
FOSSIL ,Smartwatch,Gen 5 Julianna HR,White,14995,22995,AMOLED Display,4.3,Stainless Steel,2,
FOSSIL ,Smartwatch,Cameron Hybrid Smartwatch,Blue,13495,13495,AMOLED Display,4.6,Leather,12,
FOSSIL ,Smartwatch,Gen 3 Q Venture,Silver,19995,19995,AMOLED Display,4.3,Stainless Steel,1,78
FOSSIL ,Smartwatch,Jacqueline Hybrid,Black,11995,11995,AMOLED Display,4.6,Leather,12,
FOSSIL ,Smartwatch,Q Annette,Silver,6995,11995,AMOLED Display,4.6,Silicone,1,
FOSSIL ,Smartwatch,Sport 43,Blue,9995,17995,AMOLED Display,4,Silicone,2,
FOSSIL ,Smartwatch,Sport 41,"Blue, Black, Gray",17995,17995,AMOLED Display,4,Silicone,2,55
FOSSIL ,Smartwatch,Gen 3 Q Explorist,Grey,21995,21995,AMOLED Display,4.4,Stainless Steel,2,
FOSSIL ,Smartwatch,Marshall,Silver,18995,18995,AMOLED Display,4,Stainless Steel,1,
FOSSIL ,Smartwatch,Q Jacqueline,Gold,13495,13495,AMOLED Display,4.4,Silicone,1,
FOSSIL ,Smartwatch,Garrett,Brown,8995,11995,AMOLED Display,3.7,Leather,1,
FOSSIL ,Smartwatch,Machine Hybrid,"Silver, Brown",11995,11995,AMOLED Display,4.6,Stainless Steel,12,
FOSSIL ,Smartwatch,Sloan HR,Black,24495,24495,AMOLED Display,4.1,Silicone,14,
FOSSIL ,Smartwatch,Sloan HR,Blue,21995,21995,AMOLED Display,4.1,Silicone,14,
FOSSIL ,Smartwatch,Garrett Hybrid,Silver,10496,14995,AMOLED Display,3.7,Stainless Steel,12,
FOSSIL ,Smartwatch,4th Gen Venture HR,Black,13195,21995,AMOLED Display,3.9,Stainless Steel,14,46
FOSSIL ,Smartwatch,Gen 3 Q Explorist,Silver,3999,19995,AMOLED Display,4.2,Stainless Steel,2,
FOSSIL ,Smartwatch,Charter Hybrid HR,Silver,12396,14995,AMOLED Display,3.9,Leather,12,6
FOSSIL ,Smartwatch,Q Wander,Silver,11997,19995,AMOLED Display,4.1,Stainless Steel,1,
FOSSIL ,Smartwatch,Neely,White,8995,13495,AMOLED Display,4.7,Leather,1,
FOSSIL ,Smartwatch,Rose Gold Smart,Rose Gold ,21995,21995,AMOLED Display,4.6,Stainless Steel,3,
FOSSIL ,Smartwatch,Q Founder 2.0,Blue,11397,18995,AMOLED Display,4.1,Stainless Steel,1,61
FOSSIL ,Smartwatch,FTW1159 Hybrid,Gold,8995,12995,AMOLED Display,5,Stainless Steel,2,
FOSSIL ,Smartwatch,Q Wander,Silver,3799,18995,AMOLED Display,4,Stainless Steel,1,
FOSSIL ,Smartwatch,FTW4010 Gold HR,Gold,15995,15995,AMOLED Display,4.8,Stainless Steel,6,
FOSSIL ,Smartwatch,FTW6009 Black HR,Black,13995,13995,AMOLED Display,4.1,Leather,14,
FOSSIL ,Smartwatch,Eleanor Hybrid,"Brown, Gold",6995,11995,AMOLED Display,4.6,Stainless Steel,12,
FOSSIL ,Smartwatch,FTW1146 Q Hybrid,Gold,11995,11995,AMOLED Display,4.6,Leather,2,
FOSSIL ,Smartwatch,Jacqueline Hybrid,Blue,6995,11995,AMOLED Display,4.6,Leather,12,
FOSSIL ,Smartwatch,FTW20013 Q,Black,21495,21495,AMOLED Display,4.6,Leather,2,
FOSSIL ,Smartwatch,FTW5016 Hybrid,Silver,6995,14495,AMOLED Display,4.6,Stainless Steel,2,
FOSSIL ,Smartwatch,FTW5017 Hybrid,Gold,14495,14495,AMOLED Display,4.6,Stainless Steel,2,
FOSSIL ,Smartwatch,FTW1141 Q Hybrid,Silver,6995,11995,AMOLED Display,4.6,Stainless Steel,2,
FOSSIL ,Smartwatch,Sport,Black,17995,17995,AMOLED Display,4.6,Silicone,2,
FOSSIL ,Smartwatch,FTW5003 Hybrid,Gold,12995,12995,AMOLED Display,4.6,Stainless Steel,2,
FOSSIL ,Smartwatch,Jacqueline Hybrid,Silver,13495,13495,AMOLED Display,4.6,Leather,12,
FOSSIL ,Smartwatch,Commuter Hybrid,Brown,8995,11995,AMOLED Display,4.6,Leather,12,
FOSSIL ,Smartwatch,Q MACHINE,Grey,6995,6995,AMOLED Display,4.6,Stainless Steel,1,
